지역코드	지역명	방위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
03	서울	북서	39.41	34.26	28.87	20.16	28.54	31.02	22.15	18.00	13.18	14.56	25.92	37.88
03	서울	북동	27.09	27.00	25.23	21.53	31.19	30.13	22.40	20.56	16.35	13.55	19.75	25.36
03	서울	북	0.00	0.00	18.54	18.74	29.12	31.21	21.55	16.62	10.32	6.61	0.00	0.00
04	인천	수평	84.35	72.83	43.81	36.07	36.86	29.94	22.79	29.94	36.21	41.47	55.10	81.61
04	인천	남	82.70	88.60	43.16	33.65	34.00	28.41	22.98	28.31	34.18	37.34	66.17	96.22
04	인천	남동	69.96	76.68	38.25	33.51	36.57	28.95	23.77	30.38	34.15	33.80	56.68	85.24
04	인천	남서	78.25	76.92	43.85	33.57	36.11	31.49	24.14	27.90	30.76	32.90	55.54	81.49
04	인천	동	67.57	71.00	35.97	32.68	39.49	29.58	24.37	29.74	31.68	33.32	55.10	86.32
04	인천	서	57.45	52.89	37.89	30.58	36.56	33.87	24.60	25.74	23.27	23.37	33.54	53.60
04	인천	북서	46.42	35.58	27.99	24.40	29.68	30.25	20.83	18.31	13.29	14.40	27.46	39.88
04	인천	북동	33.62	28.85	23.57	25.52	34.46	29.88	22.00	25.04	17.35	14.02	20.94	27.56
04	인천	북	0.00	0.00	18.72	21.79	31.11	30.75	20.68	18.61	9.90	7.03	0.00	0.00
05	원주	수평	78.48	70.77	51.77	36.89	35.30	32.68	26.06	28.56	35.57	42.14	55.46	81.36
05	원주	남	75.45	87.28	51.85	34.30	33.32	30.93	26.88	27.48	33.27	38.64	66.12	93.76
05	원주	남동	62.85	74.61	47.47	34.03	34.77	30.93	27.04	28.16	33.05	34.68	54.39	80.75
05	원주	남서	73.17	76.35	49.64	34.46	35.94	34.26	28.62	28.15	30.38	33.95	58.05	82.15
05	원주	동	60.61	68.26	44.19	33.22	36.80	31.06	27.41	26.98	30.72	33.62	52.21	79.36
05	원주	서	55.16	52.60	40.64	31.80	36.47	36.66	29.39	26.50	23.33	23.63	36.24	54.64
05	원주	북서	47.89	34.65	28.44	25.53	29.52	32.52	25.03	18.87	13.67	14.16	29.45	40.59
05	원주	북동	33.20	27.27	27.06	26.18	32.14	31.28	25.06	23.01	17.32	13.74	20.56	26.45
05	원주	북	0.00	0.00	18.56	22.77	29.97	32.54	24.28	18.14	10.50	6.69	0.00	0.00
06	청주	수평	66.96	68.61	48.32	36.51	35.89	31.73	28.22	30.14	36.58	42.31	66.62	89.01
06	청주	남	60.14	80.31	47.31	33.71	33.62	30.06	28.26	28.62	33.36	38.16	79.26	98.05
06	청주	남동	51.85	68.43	42.45	33.44	35.46	30.80	28.11	29.70	32.12	33.67	65.25	85.62
06	청주	남서	58.17	72.73	47.00	33.84	35.96	32.45	30.89	28.91	31.24	34.24	68.50	85.54
06	청주	동	53.77	64.57	39.82	32.74	37.80	31.33	28.49	28.64	29.39	32.58	60.35	86.30
06	청주	서	46.13	53.11	40.01	31.25	36.42	34.42	32.19	27.09	24.23	24.35	41.11	57.90
06	청주	북서	47.54	39.19	29.31	25.25	29.72	30.90	27.33	19.35	14.60	14.74	30.61	45.40
06	청주	북동	34.61	29.27	25.52	25.95	33.16	31.63	26.09	24.46	17.10	13.59	21.42	30.14
06	청주	북	0.00	0.00	19.81	22.69	30.63	32.00	25.88	19.04	11.63	6.90	0.00	0.00
07	대전	수평	80.72	67.02	51.51	40.13	33.74	31.02	26.67	30.65	41.57	44.76	65.17	93.81
07	대전	남	76.55	82.06	50.33	37.04	31.51	29.30	27.06	28.80	38.16	40.51	77.85	105.96
07	대전	남동	63.70	70.13	45.48	36.05	33.75	29.81	26.79	28.99	37.73	36.63	64.41	94.79
07	대전	남서	74.44	71.88	49.80	37.92	33.58	32.73	29.19	30.68	35.00	35.56	67.30	89.44
07	대전	동	61.77	63.91	42.76	34.82	36.47	30.51	26.93	27.80	34.99	35.77	60.62	95.14
07	대전	서	56.82	49.62	42.19	35.14	34.13	35.52	30.08	29.73	26.91	25.12	40.85	57.77
07	대전	북서	48.39	32.50	30.31	27.69	28.00	31.77	25.54	21.17	15.65	15.10	31.10	42.40
07	대전	북동	33.14	25.51	26.86	27.06	32.15	30.99	24.72	23.96	19.54	14.60	22.21	29.95
07	대전	북	0.00	0.00	19.69	23.70	29.36	32.16	24.34	19.62	11.92	6.88	0.00	0.00
08	대구	수평	87.79	67.07	56.01	37.59	38.21	32.22	27.51	28.06	38.63	43.46	64.21	104.38
08	대구	남	83.05	81.40	54.64	34.43	35.12	30.11	27.43	26.77	35.01	39.03	75.45	119.57
08	대구	남동	70.46	71.05	50.47	34.34	36.59	31.09	27.42	27.26	34.65	34.38	63.14	107.23
08	대구	남서	79.13	70.27	52.64	34.72	38.50	33.17	29.87	27.98	32.47	35.46	64.77	100.00
08	대구	동	69.07	66.44	47.81	33.75	39.08	32.07	27.99	26.31	32.49	33.41	60.14	107.34
08	대구	서	59.47	48.65	43.87	32.12	39.65	35.80	31.23	26.86	25.47	25.71	39.10	64.33
08	대구	북서	50.31	32.89	31.04	25.53	32.47	32.28	26.63	19.40	15.34	15.87	30.56	44.74
08	대구	북동	36.22	27.07	29.49	26.39	34.59	32.61	25.73	22.90	18.82	14.31	22.13	31.99
08	대구	북	0.00	0.00	20.37	22.55	32.84	33.32	25.44	18.59	12.12	7.54	0.00	0.00
09	전주	수평	75.07	65.68	53.34	37.67	33.21	27.92	29.04	31.00	37.52	42.30	61.13	75.04
09	전주	남	67.02	76.99	51.15	34.20	30.79	26.85	28.83	28.64	34.56	36.99	70.01	77.29
09	전주	남동	57.02	67.10	47.65	34.10	32.49	26.76	28.63	28.49	33.53	34.03	58.22	69.02
09	전주	남서	65.48	67.55	49.24	35.64	33.37	30.41	32.09	30.76	33.02	32.20	61.32	68.33
09	전주	동	58.04	63.78	45.84	33.73	35.03	27.24	29.17	27.13	31.27	34.06	56.25	75.09
09	전주	서	51.57	47.93	41.38	34.06	34.36	33.41	33.85	29.83	26.34	23.06	38.97	49.55
09	전주	북서	51.33	34.31	30.77	27.70	28.33	30.18	28.64	21.27	15.78	14.61	32.44	47.68
09	전주	북동	36.14	27.49	29.68	26.96	31.16	28.04	26.89	23.44	18.11	14.65	22.77	31.94
09	전주	북	0.00	0.00	22.27	23.88	29.20	29.96	26.89	19.63	11.80	7.43	0.00	0.00
10	광주	수평	78.87	83.40	61.25	41.05	40.42	27.35	26.52	34.37	39.60	47.82	66.67	87.07
10	광주	남	70.95	102.87	58.95	37.11	36.31	25.97	26.63	31.44	36.04	43.02	77.20	91.99
10	광주	남동	61.71	95.29	54.49	37.42	39.50	26.49	26.66	33.16	35.20	38.53	64.71	80.41
10	광주	남서	67.92	85.27	57.05	36.61	38.92	28.95	29.32	33.13	33.66	37.97	66.51	81.77
10	광주	동	64.71	92.94	51.73	36.91	43.48	27.40	27.24	32.85	32.70	37.47	62.31	84.63
10	광주	서	53.78	58.71	47.67	33.43	40.10	31.64	30.89	32.15	26.30	26.76	40.92	58.75
10	광주	북서	54.55	39.66	34.20	26.68	33.03	28.74	26.43	23.10	15.34	15.67	32.64	51.55
10	광주	북동	40.29	37.14	32.34	28.92	38.60	28.26	25.22	28.37	18.43	15.02	23.64	33.46
10	광주	북	0.00	0.00	23.01	24.41	35.07	29.38	25.10	22.24	11.47	6.58	0.00	0.00
11	부산	수평	91.13	68.00	53.83	41.77	35.66	29.93	32.87	39.58	41.80	45.38	69.51	104.79
11	부산	남	86.04	81.74	52.80	38.04	32.33	27.85	31.41	35.94	37.94	40.66	84.03	115.63
11	부산	남동	71.88	70.09	47.65	38.11	34.80	28.21	32.01	36.94	36.15	35.59	69.58	102.00
11	부산	남서	83.02	72.33	51.61	37.35	35.26	30.52	33.67	36.30	36.27	36.80	71.78	99.47
11	부산	동	69.42	65.60	44.62	37.17	38.08	28.69	32.86	35.51	33.02	34.10	64.39	104.94
11	부산	서	62.56	51.39	43.16	33.82	36.52	32.72	34.97	34.01	28.50	26.53	42.78	67.75
11	부산	북서	52.06	35.18	30.37	26.74	30.09	29.51	29.69	24.22	16.46	16.06	30.73	52.46
11	부산	북동	36.09	27.28	27.54	28.79	33.72	29.23	29.80	30.21	18.49	14.16	21.92	35.22
11	부산	북	0.00	0.00	19.42	24.27	31.23	30.17	28.80	23.71	11.73	7.08	0.00	0.00
12	목포	수평	76.29	66.65	54.53	39.85	37.58	27.99	31.74	35.15	39.43	48.47	72.61	79.09
12	목포	남	66.90	75.84	51.55	36.06	34.14	26.55	31.03	32.01	35.26	43.65	85.09	79.66
12	목포	남동	59.11	65.90	48.33	35.65	36.32	26.62	32.14	33.62	34.74	39.51	70.87	71.90
12	목포	남서	63.86	67.44	50.06	36.84	37.39	29.99	32.90	32.79	32.85	38.29	73.40	70.63
12	목포	동	63.49	63.17	47.19	34.92	39.54	27.30	33.25	32.88	32.70	38.90	67.78	80.29
12	목포	서	51.15	48.83	42.81	34.40	38.89	32.90	33.95	31.23	25.80	27.19	45.05	52.00
12	목포	북서	55.00	35.83	32.63	27.66	31.87	29.92	29.10	22.28	15.43	16.15	35.14	52.40
12	목포	북동	41.54	28.14	31.26	27.60	35.09	28.41	30.43	28.01	18.87	15.78	25.06	35.37
12	목포	북	0.00	0.00	24.35	24.34	32.75	30.13	28.93	21.72	12.05	6.88	0.00	0.00
13	서산	수평	78.64	76.35	43.24	37.88	36.51	29.79	26.85	30.47	38.98	42.80	55.14	84.32
13	서산	남	73.18	92.65	42.41	35.00	33.93	28.20	27.36	28.26	35.98	38.80	65.10	93.24
13	서산	남동	63.34	80.14	38.27	35.01	36.05	28.08	27.48	30.16	35.27	35.05	53.97	82.50
13	서산	남서	69.54	80.49	42.52	34.87	36.71	32.03	29.28	28.35	33.26	34.13	57.10	80.79
13	서산	동	65.36	74.40	36.33	34.27	38.82	28.46	27.84	29.62	32.68	34.35	52.22	86.31
13	서산	서	53.33	55.63	36.60	31.87	37.62	34.93	30.10	26.66	25.75	24.20	36.05	55.44
13	서산	북서	51.79	37.32	27.23	25.37	30.62	31.15	25.61	19.04	15.09	14.74	30.00	46.49
13	서산	북동	38.41	30.11	23.86	26.76	34.10	28.99	25.45	25.11	18.41	14.28	21.05	31.36
13	서산	북	0.00	0.00	18.88	22.72	31.47	30.81	24.73	19.03	11.42	7.00	0.00	0.00
14	진주	수평	92.03	83.81	62.98	38.45	35.65	31.37	30.49	33.66	42.50	49.94	71.85	112.02
14	진주	남	87.52	103.14	60.69	35.01	32.60	29.29	29.79	30.68	39.00	45.29	86.88	128.57
14	진주	남동	72.99	88.66	55.28	34.84	34.68	29.33	30.55	32.58	37.52	39.51	71.03	110.91
14	진주	남서	84.55	89.57	59.27	34.96	35.15	33.03	31.63	30.81	36.67	40.70	75.11	111.12
14	진주	동	71.48	81.71	52.17	34.01	37.54	29.92	31.33	32.01	34.31	37.27	65.31	108.95
14	진주	서	64.35	61.51	49.80	32.06	36.08	36.12	32.72	29.12	28.50	28.67	44.94	73.22
14	진주	북서	54.07	39.11	35.34	25.16	29.99	32.64	27.93	20.87	16.36	16.55	31.60	48.55
14	진주	북동	37.45	31.47	32.36	26.32	33.68	30.78	28.61	27.31	19.09	14.82	21.88	31.64
14	진주	북	0.00	0.00	23.00	22.20	31.38	32.64	27.42	20.88	11.81	6.80	0.00	0.00
15	포항	수평	45.80	54.59	39.45	34.27	38.74	33.26	35.46	32.43	27.80	25.30	43.19	57.68
15	포항	남	88.04	86.35	49.98	35.64	34.75	28.93	31.86	32.03	31.63	35.44	75.12	114.84
15	포항	남동	74.27	74.41	45.37	34.60	36.96	29.40	31.69	32.10	30.81	32.15	62.87	99.75
15	포항	남서	83.35	74.62	48.99	37.06	38.03	33.39	35.29	34.66	29.99	31.23	63.88	98.88
15	포항	동	71.51	67.98	42.85	33.61	40.02	30.20	32.29	30.62	28.84	31.64	59.59	97.28
15	포항	서	61.35	50.92	41.30	34.80	39.21	37.67	37.27	33.82	23.86	22.15	38.73	65.41
15	포항	북서	48.57	32.15	29.52	27.72	32.14	34.10	31.53	23.80	14.51	13.66	28.59	43.79
15	포항	북동	35.00	25.90	26.89	26.53	35.31	30.82	29.56	26.06	16.98	13.28	20.87	29.03
15	포항	북	0.00	0.00	19.16	23.72	32.97	33.34	29.60	21.47	11.31	6.64	0.00	0.00
16	제주	수평	47.51	61.82	51.70	38.34	39.79	29.73	32.61	38.15	44.02	42.06	49.91	61.32
16	제주	남	38.74	70.47	48.92	34.17	35.36	27.45	30.71	33.61	38.85	36.79	55.38	61.21
16	제주	남동	34.79	61.75	46.16	34.90	39.21	28.54	32.27	35.91	38.83	35.58	47.91	56.26
16	제주	남서	38.33	62.28	48.36	35.73	36.96	30.02	32.73	34.55	35.74	30.70	47.90	54.20
16	제주	동	40.28	59.34	45.74	35.19	43.59	29.76	33.85	35.65	36.71	36.97	50.08	65.04
16	제주	서	33.40	45.11	41.76	34.73	37.78	32.59	34.16	33.20	27.81	21.64	31.00	41.05
16	제주	북서	43.45	34.08	31.78	28.75	31.71	29.96	29.31	23.96	16.57	13.95	29.09	43.67
16	제주	북동	31.84	26.99	30.57	28.43	39.04	30.87	31.08	30.66	21.04	15.97	21.88	29.90
16	제주	북	0.00	0.00	23.57	25.25	34.89	31.51	29.40	23.78	13.28	7.51	0.00	0.00
17	안동	수평	84.08	71.98	52.79	33.20	40.72	33.00	29.00	30.44	35.93	40.48	58.20	97.16
17	안동	남	79.88	86.13	51.98	30.38	37.69	30.80	28.77	29.04	33.67	36.20	65.06	113.27
17	안동	남동	68.25	75.35	47.99	30.31	39.43	31.47	28.77	30.42	33.83	33.73	55.58	101.10
17	안동	남서	75.63	74.70	50.10	31.15	40.65	33.78	31.28	29.29	30.08	31.04	56.25	95.06
17	안동	동	66.91	71.39	45.74	30.24	41.90	32.03	29.21	29.56	31.30	33.64	56.45	101.52
17	안동	서	56.26	52.42	41.97	29.47	41.13	36.16	32.48	27.50	22.77	21.85	36.02	61.33
17	안동	북서	48.53	36.46	30.06	24.06	33.30	32.30	27.47	19.71	13.42	13.80	32.53	43.40
17	안동	북동	35.66	29.88	28.52	24.39	36.58	32.27	26.63	25.25	17.59	14.37	23.99	30.77
17	안동	북	0.00	0.00	19.87	21.46	33.95	33.02	26.17	19.47	10.67	7.36	0.00	0.00
18	수원	수평	89.06	73.01	51.76	36.99	37.85	32.48	32.65	31.26	34.92	40.56	63.27	99.83
18	수원	남	90.63	93.79	51.84	34.53	35.66	30.51	32.30	30.01	33.41	38.23	80.26	122.22
18	수원	남동	73.87	79.86	47.03	33.26	37.25	30.34	32.23	29.99	32.32	34.68	65.73	106.96
18	수원	남서	87.63	81.12	50.89	35.80	38.97	34.74	35.15	31.40	31.06	32.96	68.65	102.82
18	수원	동	67.83	72.08	44.31	31.85	39.54	30.52	32.49	28.22	29.26	33.35	59.51	102.94
18	수원	서	63.47	54.64	43.08	33.29	39.77	37.79	36.34	29.71	23.81	22.55	40.01	64.76
18	수원	북서	45.97	33.75	30.83	26.11	32.03	33.30	30.32	20.82	13.51	12.87	27.34	39.79
18	수원	북동	30.75	27.01	27.66	24.74	34.39	30.69	29.19	23.85	15.95	13.04	19.43	27.68
18	수원	북	0.00	0.00	19.63	21.90	32.16	32.60	28.56	19.25	9.47	5.72	0.00	0.00
19	대관	수평	77.47	69.04	54.61	39.35	39.79	29.40	26.72	29.23	33.50	45.87	61.27	97.27
19	대관	남	72.03	84.15	52.61	36.38	36.66	28.21	26.90	27.68	30.55	41.32	73.89	111.84
19	대관	남동	60.98	72.51	47.29	35.53	38.58	28.59	27.12	27.73	29.85	37.21	61.28	97.53
19	대관	남서	69.59	73.00	51.84	37.13	39.70	31.20	29.00	28.56	28.82	36.33	63.50	96.53
19	대관	동	60.42	66.47	44.33	34.26	41.31	29.17	27.66	26.17	28.06	36.15	57.75	96.78
19	대관	서	53.25	49.80	43.81	34.31	40.48	33.71	30.15	26.86	22.90	25.60	38.24	64.46
19	대관	북서	48.69	32.81	31.90	26.68	32.86	30.45	25.69	19.09	14.01	15.15	28.42	46.35
19	대관	북동	34.33	26.54	28.31	26.20	36.20	29.85	25.37	22.40	16.57	14.68	20.37	30.91
19	대관	북	0.00	0.00	21.88	22.42	33.59	30.98	24.78	18.13	11.01	6.68	0.00	0.00
20	추풍	수평	73.90	76.28	54.47	36.40	35.02	30.05	28.37	30.93	33.94	41.54	63.10	84.79
20	추풍	남	68.68	91.10	53.96	33.87	32.83	28.49	28.33	29.24	31.17	37.71	77.76	96.22
20	추풍	남동	57.97	78.35	49.20	33.71	34.67	28.35	29.20	30.21	30.56	33.88	63.91	84.79
20	추풍	남서	66.67	79.86	52.29	33.61	35.44	32.28	30.00	30.10	29.13	33.29	66.79	82.62
20	추풍	동	57.20	71.85	45.88	32.89	37.17	28.68	30.08	29.10	28.67	32.93	58.63	84.38
20	추풍	서	51.08	55.51	43.14	30.65	36.17	35.17	30.85	28.43	22.94	23.43	39.80	54.14
20	추풍	북서	47.57	37.52	30.31	24.51	29.45	31.33	26.21	20.13	13.83	14.18	28.94	40.90
20	추풍	북동	33.31	29.43	28.17	25.77	32.68	29.11	27.28	24.67	16.66	13.65	20.31	27.80
20	추풍	북	0.00	0.00	19.58	22.09	30.21	30.93	25.88	19.28	10.75	6.85	0.00	0.00
