기간	지역코드	지역명	온도	상대습도
2월	09	전주	1.3	59.9%
3월	09	전주	7.1	55.6%
4월	09	전주	11.9	57.0%
5월	09	전주	18.8	59.4%
6월	09	전주	22.8	69.0%
7월	09	전주	26.7	76.0%
8월	09	전주	27.8	73.3%
9월	09	전주	20.9	71.7%
10월	09	전주	15.3	66.4%
11월	09	전주	8.6	64.1%
12월	09	전주	2.3	68.9%
평균값	09	전주	13.5	65.3%
1월	10	광주	1.1	66.9%
2월	10	광주	2.6	60.9%
3월	10	광주	7.5	57.8%
4월	10	광주	13.9	55.1%
5월	10	광주	18.9	62.6%
6월	10	광주	22.9	71.5%
7월	10	광주	26.4	77.5%
8월	10	광주	26.1	78.5%
9월	10	광주	22.6	68.3%
10월	10	광주	16.0	63.7%
11월	10	광주	9.8	66.0%
12월	10	광주	2.9	66.7%
평균값	10	광주	14.2	66.3%
1월	11	부산	2.0	42.2%
2월	11	부산	5.8	56.3%
3월	11	부산	9.1	55.2%
4월	11	부산	13.1	52.8%
5월	11	부산	17.3	66.8%
6월	11	부산	20.5	74.0%
7월	11	부산	25.2	83.0%
8월	11	부산	25.0	75.2%
9월	11	부산	24.2	71.3%
10월	11	부산	18.3	63.6%
11월	11	부산	11.7	56.5%
12월	11	부산	5.4	44.4%
평균값	11	부산	14.8	61.8%
1월	12	목포	1.7	77.0%
2월	12	목포	1.8	76.0%
3월	12	목포	6.1	77.3%
4월	12	목포	12.1	69.8%
5월	12	목포	17.2	76.3%
6월	12	목포	22.0	82.6%
7월	12	목포	24.8	91.7%
8월	12	목포	25.0	84.8%
9월	12	목포	22.4	82.0%
10월	12	목포	16.8	74.9%
11월	12	목포	9.6	69.8%
12월	12	목포	3.8	79.0%
평균값	12	목포	13.6	78.4%
1월	13	서산	-1.5	68.2%
2월	13	서산	-0.4	67.4%
3월	13	서산	4.2	69.2%
4월	13	서산	10.1	69.0%
5월	13	서산	15.8	70.9%
6월	13	서산	21.3	74.1%
7월	13	서산	23.3	85.0%
8월	13	서산	25.7	83.8%
9월	13	서산	21.2	77.7%
10월	13	서산	14.6	75.9%
11월	13	서산	11.2	73.1%
12월	13	서산	2.0	71.2%
평균값	13	서산	12.3	73.8%
1월	14	진주	-0.4	57.1%
2월	14	진주	2.1	57.0%
3월	14	진주	6.8	53.3%
4월	14	진주	12.9	61.4%
5월	14	진주	18.4	65.4%
6월	14	진주	22.0	73.8%
7월	14	진주	25.7	81.5%
8월	14	진주	27.1	80.4%
9월	14	진주	22.8	75.8%
10월	14	진주	15.4	70.4%
11월	14	진주	8.6	67.8%
12월	14	진주	1.9	60.3%
평균값	14	진주	13.6	67.0%
1월	15	포항	1.9	46.2%
2월	15	포항	5.0	61.0%
3월	15	포항	8.7	58.5%
4월	15	포항	13.6	55.3%
5월	15	포항	18.6	63.3%
6월	15	포항	21.5	77.6%
7월	15	포항	25.6	79.1%
8월	15	포항	27.0	77.7%
9월	15	포항	21.9	75.3%
10월	15	포항	16.8	64.5%
11월	15	포항	10.5	61.8%
12월	15	포항	4.7	52.3%
평균값	15	포항	14.6	64.4%
1월	16	제주	5.4	58.6%
2월	16	제주	8.7	62.1%
3월	16	제주	9.8	54.5%
4월	16	제주	14.1	61.3%
5월	16	제주	19.0	66.2%
6월	16	제주	21.8	79.0%
7월	16	제주	25.6	73.7%
8월	16	제주	27.4	68.6%
9월	16	제주	23.1	70.6%
10월	16	제주	18.3	60.4%
11월	16	제주	13.0	58.9%
12월	16	제주	7.4	61.3%
평균값	16	제주	16.1	64.6%
1월	17	안동	-1.9	55.7%
2월	17	안동	0.5	53.4%
3월	17	안동	5.7	58.2%
4월	17	안동	10.5	56.2%
5월	17	안동	18.1	58.0%
6월	17	안동	22.6	67.2%
7월	17	안동	25.5	78.4%
8월	17	안동	25.2	79.7%
9월	17	안동	21.5	78.4%
10월	17	안동	13.8	71.2%
11월	17	안동	6.5	70.7%
12월	17	안동	-0.1	60.6%
평균값	17	안동	12.3	65.6%
1월	18	수원	-2.7	62.5%
2월	18	수원	2.1	61.2%
3월	18	수원	6.1	62.5%
4월	18	수원	13.3	61.2%
5월	18	수원	17.8	65.5%
6월	18	수원	22.6	68.8%
7월	18	수원	26.1	82.3%
8월	18	수원	25.4	76.0%
9월	18	수원	21.8	72.1%
10월	18	수원	14.8	70.0%
11월	18	수원	6.5	68.0%
12월	18	수원	1.0	66.6%
평균값	18	수원	12.9	68.1%
1월	19	대관	-7.3	63.6%
2월	19	대관	-3.9	69.3%
3월	19	대관	-0.7	68.6%
4월	19	대관	7.7	62.6%
5월	19	대관	12.8	67.8%
6월	19	대관	17.0	74.6%
7월	19	대관	20.7	82.5%
8월	19	대관	20.5	86.2%
9월	19	대관	16.0	84.0%
10월	19	대관	9.6	79.7%
11월	19	대관	2.2	70.9%
12월	19	대관	-3.0	66.4%
평균값	19	대관	7.6	73.0%
1월	20	추풍	-2.1	
2월	20	추풍	-0.3	
3월	20	추풍	4.9	
4월	20	추풍	11.0	
5월	20	추풍	17.1	
6월	20	추풍	20.9	
7월	20	추풍	24.4	
8월	20	추풍	23.8	
9월	20	추풍	19.4	
10월	20	추풍	14.4	
11월	20	추풍	7.1	
12월	20	추풍	0.4	
평균값	20	추풍	11.7	
1월	21	포츠담	1.0	
2월	21	포츠담	1.9	
3월	21	포츠담	4.7	
4월	21	포츠담	9.2	
5월	21	포츠담	14.1	
6월	21	포츠담	16.7	
7월	21	포츠담	19.0	
8월	21	포츠담	18.6	
9월	21	포츠담	14.3	
10월	21	포츠담	9.5	
11월	21	포츠담	4.1	
12월	21	포츠담	0.9	
평균값	21	포츠담	9.5	
