지역코드	지역명	방향	각도	종류	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	서	45˚	좌측	-3.39	-5.21	-8.41	-16.91	-29.68	-42.91	-31.27	-23.64	-15.00	-7.29	-4.25	-3.72
01	춘천	서	60˚	좌측	-3.39	-5.21	-8.41	-16.91	-29.68	-42.91	-31.27	-23.64	-15.00	-7.29	-4.25	-3.72
01	춘천	서	90˚	좌측	-3.39	-5.21	-8.41	-16.91	-29.68	-42.91	-31.27	-23.64	-15.00	-7.29	-4.25	-3.72
01	춘천	북서	30˚	좌측	-2.45	-3.60	-6.71	-14.37	-26.24	-39.63	-28.55	-20.57	-12.22	-5.41	-2.92	-2.78
01	춘천	북서	45˚	좌측	-2.45	-3.60	-6.71	-14.37	-26.24	-39.63	-28.55	-20.57	-12.22	-5.41	-2.92	-2.78
01	춘천	북서	60˚	좌측	-2.45	-3.60	-6.71	-14.37	-26.24	-39.63	-28.55	-20.57	-12.22	-5.41	-2.92	-2.78
01	춘천	북서	90˚	좌측	-2.45	-3.60	-6.71	-14.37	-26.24	-39.63	-28.55	-20.57	-12.22	-5.41	-2.92	-2.78
01	춘천	북동	30˚	좌측	0.00	0.00	0.00	0.00	0.00	-0.02	-0.03	0.00	0.00	0.00	0.00	0.00
01	춘천	북동	45˚	좌측	0.00	0.00	0.00	0.00	0.00	-0.02	-0.03	0.00	0.00	0.00	0.00	0.00
01	춘천	북동	60˚	좌측	0.00	0.00	0.00	0.00	0.00	-0.02	-0.03	0.00	0.00	0.00	0.00	0.00
01	춘천	북동	90˚	좌측	0.00	0.00	0.00	0.00	0.00	-0.02	-0.03	0.00	0.00	0.00	0.00	0.00
01	춘천	북	30˚	좌측	-1.85	-2.56	-5.38	-11.26	-20.18	-30.75	-22.47	-15.92	-9.52	-4.16	-2.09	-2.20
01	춘천	북	45˚	좌측	-1.85	-2.56	-5.38	-11.26	-20.18	-30.75	-22.47	-15.92	-9.52	-4.16	-2.09	-2.20
01	춘천	북	60˚	좌측	-1.85	-2.56	-5.38	-11.26	-20.18	-30.75	-22.47	-15.92	-9.52	-4.16	-2.09	-2.20
01	춘천	북	90˚	좌측	-1.85	-2.56	-5.38	-11.26	-20.18	-30.75	-22.47	-15.92	-9.52	-4.16	-2.09	-2.20
