방위	각도	지역	춘천_1월	춘천_2월	춘천_3월	춘천_4월	춘천_5월	춘천_6월	춘천_7월	춘천_8월	춘천_9월	춘천_10월	춘천_11월	춘천_12월	춘천_연간합
남	90	서울	56432.35644	45805.67778	41293.01472	28031.30547	22966.504	18523.88091	21806.9572	24183.94206	30839.11557	41673.60526	43522.12054	50305.26461	310285.503
남동	30	서울	45753.29658	44649.4114	50509.71316	45923.84139	48086.91024	43482.52773	43261.84555	39727.87249	43417.77983	43203.00433	39185.12332	39193.36112	384294.6671
남동	45	서울	48877.61559	46236.02512	49791.08639	44277.91658	44573.28383	39981.23497	40823.85035	38021.09745	42668.61159	44034.29227	41488.16149	42349.14024	381832.027
남동	60	서울	49215.64352	45319.35987	46803.58044	40769.54709	39540.46765	35169.64535	36726.26841	34948.18953	40172.68195	42749.8083	41567.40517	43165.98719	362087.2502
남동	90	서울	41730.4003	36791.66192	35084.88976	29404.14119	26824.87106	23518.70601	25647.79156	25501.9238	30387.11704	34204.24276	35170.87876	37555.25934	278582.9414
남서	30	서울	46885.29131	44942.44062	52266.09515	44641.16421	48427.84578	43577.82603	41886.14336	40890.08038	42744.23566	44182.51235	38170.80443	40033.1756	386018.753
남서	45	서울	50434.3984	46531.56999	52141.7365	42585.71643	45008.37172	40112.32322	39077.78434	39520.72752	41782.52155	45457.29436	40187.18819	43544.14178	384327.2288
남서	60	서울	51124.99435	45648.46893	49529.42765	38941.90814	40040.83501	35274.27364	34854.92463	36483.57434	39144.8958	44380.33208	40004.0194	44609.36506	365060.0901
남서	90	서울	43933.06552	37001.49945	37691.46802	27760.2543	27200.55413	23526.68743	24113.36033	26793.98519	29300.78893	35811.71173	33429.25713	39173.76323	281587.3625
동	30	서울	29552.25423	32978.01385	40764.34817	41581.7703	45619.11991	42679.37464	41978.66306	36563.29478	37976.42989	33261.46454	28118.202	25309.13935	318685.308
동	45	서울	27272.57804	30949.24381	37559.89118	38888.69401	41752.04466	39335.66604	39341.74928	34387.73722	35990.06868	31443.12952	26940.4487	23929.63012	297780.353
동	60	서울	24552.63718	28414.44361	33913.90282	35282.1766	37169.90635	35180.37256	35619.10181	31457.93897	33201.69608	29076.11159	25245.36257	22226.89715	271137.6966
동	90	서울	19301.19846	22323.9122	25503.4403	26518.03253	27169.33898	25932.51549	26562.41994	24077.12084	25726.20374	22898.51311	20173.78252	17910.9404	207400.7449
서	30	서울	30892.02283	33282.57765	42999.88003	39848.88654	46049.18612	42713.93968	40074.77043	38162.25067	37135.26723	34431.17627	27057.27853	26294.93422	320654.5001
서	45	서울	28906.67977	31306.07099	40288.60384	36796.28296	42311.66827	39347.50008	36933.69235	36151.27319	34921.99354	32824.67931	25577.01691	25140.71721	299883.1326
서	60	서울	26699.22783	28785.2912	36712.31266	33075.66517	37761.82087	35145.49507	33017.36338	33269.72919	32010.31819	30621.50615	23581.88504	23474.39332	273327.2643
서	90	서울	20903.13379	22521.7242	28133.17813	24552.11614	27570.86151	25836.09837	24539.27291	25981.8918	24683.46236	24369.16952	18789.47841	19098.54395	209638.0929
북서	30	서울	15342.99384	21067.15152	32179.67361	34747.38493	42623.38035	40875.12233	38215.26251	34129.57571	30662.53315	23593.85823	16343.12082	12942.02834	250525.3207
북서	45	서울	10799.45113	16050.74912	25786.37464	29304.74475	36743.73977	35858.33523	33605.93965	30163.58001	25974.33161	18993.3701	12831.11199	9867.011675	209117.2838
북서	60	서울	9384.809724	13438.79136	21236.1779	24471.49852	30709.48128	30243.64367	28526.82424	26218.39955	22232.17421	16177.50222	11374.95086	9009.424361	177722.289
북서	90	서울	9488.41026	11520.70486	16308.12676	18147.95209	21621.29774	21364.28242	20789.60577	20230.19951	17273.59555	13429.40696	10298.19989	9021.550672	138543.5319
북동	30	서울	14630.80384	20894.94867	30651.87449	36026.19955	42327.20609	40898.22134	39645.83548	32892.3363	31249.55483	22840.41747	16883.56052	12564.73405	249574.4181
북동	45	서울	10348.22329	15889.37828	24108.26127	30816.33599	36335.17947	35900.98986	35541.19685	28784.34726	26652.84397	18174.58159	13317.45831	9589.007379	208676.0675
북동	60	서울	9075.126574	13271.90103	19649.23564	25957.45377	30278.11779	30353.25484	30624.38756	24834.92178	22895.20085	15411.16853	11746.92482	8833.55013	177602.4001
북동	90	서울	9425.596806	11450.79397	15195.69412	19284.29081	21429.14221	21508.61823	22116.33651	18828.50798	17661.92643	12957.05369	10514.27991	8960.42561	138383.7878
북	30	서울	7677.976728	14380.62816	26301.01768	33092.84158	41241.71904	40380.61125	38190.7157	31862.73854	27757.38874	17348.87338	10744.75838	7167.541739	216610.4077
북	45	서울	7474.127777	8965.933458	15478.44308	25834.8979	34204.58242	34780.13361	33247.53118	26360.41316	20225.30572	10429.3459	9385.886156	7649.274621	171311.7144
북	60	서울	8081.648175	9330.909616	11597.54799	17605.90924	25622.17024	27506.01265	26764.16219	19719.12939	14415.99674	10503.3118	9641.56104	8097.731455	138199.3583
북	90	서울	9233.36152	9869.335566	12108.924	14078.56658	15206.01751	15573.48296	16959.592	14823.82712	13336.53701	10822.8943	9731.144864	8764.79937	110002.4455
수평	0	인천	30620.86425	34333.81671	38989.61833	44821.63071	51539.46347	45117.90132	43862.43759	42609.26947	42024.10808	34970.08303	27367.20303	26113.9984	337707.5984
남	30	인천	52427.52511	49572.48381	48189.60005	49062.76615	51019.66293	43627.2424	43675.81716	45213.51853	49938.25927	46516.17342	42438.66577	46359.80793	414612.0675
남	45	인천	59086.34711	53224.40282	48943.42465	47306.54282	46806.83029	39656.40867	40267.72672	42993.14555	49884.61064	48600.86179	46620.69606	52761.09629	420421.7623
남	60	인천	62241.1573	53836.14147	47004.64398	43089.15482	40332.41224	33893.00804	34968.73599	38652.48024	47105.88198	47978.96567	48132.75026	56038.60692	403626.3093
남	90	인천	57432.206	45982.34608	35755.88624	28465.42358	22713.49961	19192.90357	20543.58206	24749.89655	34261.95207	38966.50577	42923.73119	52556.96897	308810.4217
남동	30	인천	45309.18664	44549.75419	43618.16571	47676.64033	51051.34662	43824.17232	44623.17224	45941.75705	48115.67787	42726.12058	38136.14765	39956.88798	390959.9521
남동	45	인천	49215.22376	46389.75716	42883.9827	45760.18238	47415.18111	40463.50853	42023.51904	44321.28593	47596.98937	43401.08333	40559.938	43760.18991	389615.1885
남동	60	인천	50297.15448	45705.32539	40260.15348	41994.24615	42089.60336	35740.17742	37655.05578	40741.5112	45048.17551	42007.27043	40835.83844	45172.00651	370396.9836
남동	90	인천	44044.28852	37624.34422	30307.87327	30055.28095	28324.09109	24054.19669	25767.63841	29203.18459	34188.2306	33339.92208	34914.3336	40271.68102	286052.6866
남서	30	인천	45299.79544	44278.56322	46408.12115	46984.10112	49678.25652	43439.15952	42217.90303	42355.27091	46103.46578	42520.42255	37029.6347	39782.03171	384062.5547
남서	45	인천	49022.82537	45884.00467	46658.46329	44765.21098	45636.78957	40006.34876	38881.59717	39611.94476	44860.88666	43177.52596	39146.01679	43512.85508	380392.0335
남서	60	인천	50041.20542	45073.32724	44657.03508	40768.95416	40159.00853	35216.5671	34281.55224	35475.287	41881.24858	41702.80579	39147.49963	44875.41157	359986.6253
남서	90	인천	43935.62859	36863.51237	34651.42343	28829.45264	26735.3293	23509.04005	23168.85161	24663.20877	31123.83315	32984.60433	33046.40655	39937.58338	276859.5799
동	30	인천	29816.73535	33117.46105	35697.2586	42885.89598	48871.3717	43135.96609	43762.84923	43331.78446	41460.89666	33796.80571	27400.36054	25927.1013	328106.486
동	45	인천	28880.56539	31540.62753	33099.07562	39938.25439	45018.20098	39943.08294	41140.76144	41177.65297	39410.01105	32013.89927	26552.3417	25340.83269	309725.9739
동	60	인천	27298.98748	29364.17473	30133.63824	36114.99719	40228.01386	35814.33133	37224.25637	37757.47285	36424.88031	29597.98812	25200.78862	24288.25325	284429.6096
동	90	인천	23034.9506	23635.44213	23181.75569	26833.34905	29383.74575	26344.66033	27663.12251	28282.40923	28189.13764	23237.54873	20599.72777	20610.83292	219792.5748
서	30	인천	29565.52963	32733.12755	39250.20428	41859.15343	46927.34201	42450.62925	40274.0087	38470.76139	38807.29952	33499.37467	26269.88096	25695.00045	318294.8477
서	45	인천	28615.96069	31024.50257	37482.75386	38456.90813	42547.20717	39040.40687	36681.42816	34859.98681	36015.76702	31615.66679	25108.77853	25043.44001	296869.9593
서	60	인천	27355.34946	28797.44362	34748.40337	34473.63767	37556.92882	34795.08306	32505.87141	30900.25374	32771.96213	29223.26385	23487.31181	23969.35743	270629.0528
서	90	인천	22939.6783	22970.2239	27296.09787	25788.99518	27181.84803	25354.15677	23780.30774	23044.47713	25225.57865	22885.04492	19153.03062	20360.56674	208822.746
북서	30	인천	14361.75618	20721.10262	30086.24575	35943.63806	43526.40716	40738.97185	38401.67403	34891.89885	30969.73023	23779.92746	15797.94444	12158.43475	249530.3059
북서	45	인천	10572.65236	16081.70569	25063.85778	29889.33675	36811.32119	35774.68469	33128.86754	29275.4049	25260.81555	19178.59913	12642.38018	9362.398514	206939.77
북서	60	인천	9356.053575	13633.00597	21268.85547	24709.40969	30227.20441	30187.73676	27651.44881	24307.88911	21108.00481	16236.59752	11282.37643	8550.963435	174382.0651
북서	90	인천	9390.753845	11648.21873	16466.57508	18365.29507	21088.01917	21284.45575	19797.30091	18261.5058	16497.72777	13193.54605	10243.91845	8763.181947	135208.3057
북동	30	인천	14423.1591	20975.17239	27660.60451	36639.63822	45030.06532	41373.84594	41069.42175	38521.25205	32837.11117	23948.56142	16375.93494	12284.33412	256683.842
북동	45	인천	10634.3348	16356.92855	22455.97073	30905.381	38803.90761	36612.82998	36784.07314	34049.02201	27520.01708	19347.18364	13123.98995	9429.805043	216467.8499
북동	60	인천	9336.598464	13867.59625	18895.38783	25703.31893	32344.84256	31176.00433	31561.18927	29144.88926	23237.66299	16403.16001	11658.66994	8606.330954	184239.0415
북동	90	인천	9417.538225	11828.14753	14991.56672	18616.40619	22613.211	22140.08269	22689.64343	21129.08459	17624.43564	13336.74398	10421.93013	8778.796844	141526.2696
북	30	인천	6522.286037	14043.07318	24507.38905	33573.99641	42968.01024	40569.96254	38972.08747	34977.50708	27883.66923	18519.5376	10184.16439	6137.141748	218646.7815
북	45	인천	6412.904857	9126.414765	15597.32261	25347.18376	35267.83493	35141.28627	33476.08458	28462.9829	18688.3922	11227.10719	9045.81979	6668.320268	171665.0244
북	60	인천	7091.656621	9451.409864	11987.58099	16317.49975	25942.188	28056.72665	26401.21391	20702.92352	12305.97473	10890.61798	9322.48178	7224.490375	135892.3386
북	90	인천	8521.163947	9911.775348	12066.99243	12977.64089	14682.04629	16266.40194	15983.06458	14513.95811	12207.36203	10827.73137	9481.192643	8242.629988	106451.3477
수평	0	원주	29332.18277	35061.92124	43405.25608	42942.36432	50091.82488	45682.49469	39918.44323	39109.58939	40357.84594	35567.83788	26879.97241	26329.63371	332016.2861
남	30	원주	49389.56808	51165.69768	54433.68384	46912.64743	50363.13854	44199.4831	40582.47565	41965.69555	47610.40739	48021.90142	41460.98413	45847.2106	410084.6179
남	45	원주	55440.45847	55074.18325	55509.93696	45202.0645	46513.87242	40081.63922	37869.14302	40182.19378	47475.66933	50415.40123	45472.56614	51924.05183	416701.0103
남	60	원주	58224.83442	55798.98767	53461.27467	41155.23446	40346.61042	34066.74298	33355.01102	36393.20122	44785.29487	49975.06044	46880.75999	54933.8282	400713.5293
남	90	원주	53470.5793	47720.30489	40750.53204	27179.6594	23137.82077	18638.70873	20524.69689	23887.41026	32609.82061	40903.96757	41687.07542	51154.73465	307400.3627
남동	30	원주	42304.74754	45602.07096	50705.75632	45430.06797	49345.81575	43866.05128	40598.63969	41127.07997	45608.61997	43744.71429	36088.50307	38801.84024	381891.3999
남동	45	원주	45541.8399	47464.8255	50480.22164	43536.55423	45754.80315	40118.72434	38195.11189	39281.8687	44922.32003	44541.34815	37917.65541	41971.45179	379263.3297
남동	60	원주	46253.18986	46827.65194	47901.668	39934.90014	40491.07935	34991.4247	34286.13888	35900.19758	42244.06513	43106.35751	37729.97445	42884.2274	359368.6513
남동	90	원주	39979.25405	38545.61918	36442.15681	28643.10463	27175.55458	22914.16412	23907.08892	25722.31291	31747.07836	34297.41681	31756.64481	37544.77353	276197.5771
남서	30	원주	43547.33794	45949.80706	50106.5343	45233.18995	49721.03641	44162.97554	39907.47182	40801.54007	44554.72461	43821.63465	37509.86166	40411.38733	383717.8168
남서	45	원주	47186.55847	47810.59877	49693.23458	43208.65824	46153.84932	40534.92146	37374.11153	38898.28396	43528.61186	44694.36149	40040.35599	44285.85882	381958.7327
남서	60	원주	48251.53285	47206.32235	47064.37917	39557.24375	40958.21808	35473.48898	33470.69925	35491.03572	40702.95718	43226.65223	40339.11077	45639.8113	362907.1976
남서	90	원주	42285.4309	38819.47633	35621.09905	28257.51873	27567.37689	23284.15056	23190.59437	25302.34947	30366.46662	34282.28965	34525.1717	40523.17469	280125.2719
동	30	원주	27961.7635	33506.04975	41337.16038	40946.54364	46683.52999	42692.26293	39449.84421	38142.40488	39463.69312	34097.7798	25566.72025	24857.07239	317439.8928
동	45	원주	26812.30521	31878.80759	38649.73221	38089.97945	42638.92442	38896.22247	36888.82236	35667.91171	37232.28061	32220.86102	24483.21869	23667.00414	297277.681
동	60	원주	25207.38183	29792.89497	35304.17319	34475.15401	37804.42446	34335.20914	33301.9911	32376.53079	34200.53082	29710.72414	22965.41849	22242.67573	271389.0089
동	90	원주	20942.87738	24025.90154	26973.54879	25794.96672	27483.06988	24664.28441	24963.44163	24380.58204	26534.65	23260.50978	18551.44055	18226.34281	208613.4488
서	30	원주	29247.40594	33898.28179	40619.2785	40642.40461	47135.2216	43156.00881	38468.35898	37736.28066	38115.62106	34032.50559	27376.90539	26585.38194	319114.5004
서	45	원주	28401.80946	32376.07264	37756.47792	37739.26927	43231.17799	39529.6722	35710.51708	35183.32306	35621.77267	32022.05616	26582.57217	25844.74212	299361.1642
서	60	원주	27168.10007	30269.08255	34236.13494	34075.42904	38481.6886	35008.68828	32069.01061	31824.05926	32482.75941	29554.64924	25097.80046	24496.47464	273604.9984
서	90	원주	22637.73504	24295.50113	25995.51175	25475.49723	28036.68875	25211.7833	23801.72009	23877.04538	24740.36589	23336.06344	20709.09562	20499.82867	210674.3683
북서	30	원주	15008.25213	21180.88334	30215.66328	35082.80745	43506.50166	41237.52877	36662.60133	33989.67361	30903.24762	23612.06648	16480.29833	12772.55026	248951.2265
북서	45	원주	11475.81312	16383.33666	23895.79001	29594.84761	37300.33432	36034.87866	32529.08124	29553.68365	25681.46784	18803.38389	13291.14324	9771.600923	207840.5724
북서	60	원주	10206.31754	13861.86686	19507.59495	24690.53149	30942.00719	30118.02181	27800.73058	25150.40369	21591.7992	15915.57932	11795.38754	8950.160052	175839.8656
북서	90	원주	9877.20811	12009.65777	15120.49433	18346.19557	21660.77638	20765.84104	20169.18401	18717.28847	16507.83522	13019.071	10447.49657	9021.438603	135682.5782
북동	30	원주	14436.14656	20927.37668	30743.55348	35259.66369	43133.24727	40871.88951	37450.50161	34314.68512	31922.22736	23675.55679	15651.52539	12166.68374	248895.7761
북동	45	원주	11034.58752	16179.40181	24480.86617	29819.89031	36807.61301	35530.50584	33576.98352	29926.83295	26830.03844	18850.14458	12547.64948	9274.838408	208256.967
북동	60	원주	9852.251339	13701.78306	20103.17652	24924.66053	30383.35025	29556.5502	28898.7237	25529.42713	22816.51691	15820.96573	11178.33163	8510.292813	176399.4124
